eyeX,eyeY,eyeZ,centerX,centerY,centerZ,upX,upY,upZ
641.02405,641.02405,1110.2863,641.02405,641.02405,641.02405,0.5008,0.5008,0.0016000271
641.02405,987.2333,716.4475,941.31445,641.02405,321.28598,0.5008,0.5008,0.0016000271
688.182,814.9149,716.4475,944.26697,641.02405,321.28598,0.555278,0.31354275,-0.36974066
1198.1908,1198.2274,2121.2651,944.26697,1118.4263,1099.9739,0.9009959,0.91372186,0.8274516
81.71257,1198.2274,2121.2651,225.25647,1118.4263,1099.9739,0.107096106,0.91372186,0.8274516
